,model.Group,model.Type,model.Biomass,model.PB,model.QB,model.EE,model.ProdCons,model.BioAcc,model.Unassim,model.DetInput,model.Discard,model.Detritus.POC,model.Fishery,model.Fishery.disc,diet.Group,diet.Phytoplankton..Primary.Producers,diet.Bacteria,diet.Microzooplankton,diet.Small.copepods,diet.Large.Copepods,diet.Gelatinous.Zooplankton,diet.Micronekton,diet.Macrobenthos..polychaetes,diet.Macrobenthos..crustaceans,diet.Macrobenthos..molluscs,diet.Macrobenthos..other,diet.Megabenthos..filterers,diet.Megabenthos..other,diet.Shrimp.et.al.,diet.Larval.juv.fish..all,diet.Small.Pelagics..commercial,diet.Small.Pelagics..other,diet.Small.Pelagics..squid,diet.Small.Pelagics..anadromous,diet.Medium.Pelagics...piscivores...other.,diet.Demersals..benthivores,diet.Demersals..omnivores,diet.Demersals..piscivores,diet.Sharks..pelagics,diet.HMS,diet.Pinnipeds,diet.Baleen.Whales,diet.Odontocetes,diet.Sea.Birds,stanzas.NStanzaGroups,stanzas.stgroups.StGroupNum,stanzas.stgroups.StanzaGroup,stanzas.stgroups.nstanzas,stanzas.stgroups.VBGF_Ksp,stanzas.stgroups.VBGF_d,stanzas.stgroups.Wmat,stanzas.stgroups.RecPower,stanzas.stindiv.StGroupNum,stanzas.stindiv.StanzaNum,stanzas.stindiv.GroupNum,stanzas.stindiv.Group,stanzas.stindiv.First,stanzas.stindiv.Last,stanzas.stindiv.Z,stanzas.stindiv.Leading,pedigree.Group,pedigree.Biomass,pedigree.PB,pedigree.QB,pedigree.Diet,pedigree.Fishery
21,Demersals- benthivores,0,2.981,0.459,0.9,NA,NA,0,0.3,NA,0,1,0.142,0.043,Demersals- benthivores,0,0,0,0,0,0,0,0,0.001607866,0,0.00181822,0,0.002898938,0,0,0.001819155,0,0,0,0.1216143,0.03728956,0.01221896,0.01101942,0.05567741,0,0.251599,0.01532696,0.1114401,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demersals- benthivores,1,1,1,1,1
22,Demersals- omnivores,0,0.4,0.54,0.9,NA,NA,0,0.35,NA,0,1,0.00718,0.00228,Demersals- omnivores,0,0,0,0,0,0,0,0,0.000314047,0,0.000115925,0,0.000863633,0,0,0.001819155,0,0,0,0.04249413,0.006046957,0.0093992,0.004007064,0.08908386,0,0.02449874,0.0110239,0.04565654,0.01322618,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demersals- omnivores,1,1,1,1,1
23,Demersals- piscivores,0,4.006,0.55,1.014,NA,NA,0,0.15,NA,0,1,0.301,0.0904,Demersals- piscivores,0,0,0,0,0,0,0,0,0,0,0.001225253,0,0.001656536,0,0,0.001819155,0,0,0,0.1216143,0.004031305,0.005639521,0.218385,0.07794838,0,0.2486094,0.04969525,0.1772986,0.02856211,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Demersals- piscivores,1,1,1,1,1
24,Sharks- pelagics,0,0.00296,0.15,0.623,NA,NA,0,0.15,NA,0,1,0.00024,7.21E-05,Sharks- pelagics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sharks- pelagics,1,1,1,1,1
25,HMS,0,0.00587,0.5,2.362,NA,NA,0,0.15,NA,0,1,0.00182,0.000545,HMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,HMS,1,1,1,1,1
26,Pinnipeds,0,0.063,0.0673,4.85,NA,NA,0,0.2,NA,0,1,0,0.00115,Pinnipeds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Pinnipeds,1,1,1,1,1
27,Baleen Whales,0,0.602,0.042,2.3,NA,NA,0,0.2,NA,0,1,0,0.000405,Baleen Whales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01113548,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Baleen Whales,1,1,1,1,1
28,Odontocetes,0,0.0336,0.04,8.5,NA,NA,0,0.2,NA,0,1,0,0.000139,Odontocetes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02227096,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Odontocetes,1,1,1,1,1
29,Sea Birds,0,0.0035,0.275,5.362,NA,NA,0,0.15,NA,0,1,0,5.88E-05,Sea Birds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03340645,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sea Birds,1,1,1,1,1
30,Discard,2,0.442,55.84456,NA,NA,NA,0,0,0,0,0,0,0,Discard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0091007,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Discard,1,1,1,1,1
31,Detritus-POC,2,100,29.90675,NA,NA,NA,0,0,0,0,0,0,0,Detritus-POC,0,0.5694807,0.4940658,0.130568,0.06195949,0.1000336,0.184,0.465539226,0.304559621,0.340362397,0.386167839,0.0902,0.18084539,0.21198369,0.0589119,0,0,0,0,0,0.02418782,0.03383712,0,0.05567741,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Detritus-POC,1,1,1,1,1
32,Fishery,3,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA,Import,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Fishery,1,1,1,1,1
