PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
SCOLOPLOS ACUTUS,,2.14E+14,SCOACU,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
SCOLOPLOS FRAGILIS,,2.14E+14,SCOFRA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PARAONIDAE,,2.14E+14,PARFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ARICIDEA SP,,2.14E+14,ARICSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ARICIDEA JEFFREYSI,,2.14E+14,ARIJEF,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ARICIDEA QUADRILOBATA,,2.14E+14,ARIQUA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
CIRROPHORUS SP,,2.14E+14,CIRRS2,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PARAONIS SP,,2.14E+14,PARAS5,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PARAONIS GRACILIS,,2.14E+14,PARGRA,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OWENIIDAE,,2.14E+14,OWEFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MYRIOCHELE SP,,2.14E+14,MYRISP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MYRIOCHELE HEERI,,2.14E+14,MYRHEE,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
MYRIOCHELE HEERI TUBES,,2.14E+14,MYRHE1,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
OWENIA FUSIFORMIS,,2.14E+14,OWEFUS,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
PHYLLODOCIDA,,2.14E+14,PHYLLO,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
ALCIOPIDAE,,2.14E+14,ALCFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
VANADIS LONGISSIMA,,2.14E+14,VANLON,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
APHRODITIDAE,,2.14E+14,APHFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,APHFAM,APHRODITIDAE,SEA MOUSE
APHRODITA HASTATA,SEA MOUSE,2.14E+14,APHHAS,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,APHFAM,APHRODITIDAE,SEA MOUSE
LAETMONICE FILICORNIS,,2.14E+14,LAEFIL,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCERIDAE,,2.14E+14,GLYFAM,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCERA SP,,2.14E+14,GLYCSP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCERA AMERICANA,,2.14E+14,GLYAME,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCERA CAPITATA,,2.14E+14,GLYCAP,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
GLYCERA DIBRANCHIATA,,2.14E+14,GLYDIB,BENINV,ANNELI,ANNELIDA,ANNELIDA,ANNELI,ANNELIDA,ANNELIDA,POLYCH,POLYCHAETA,POLYCHAETA
