PYNAM,PYCOMNAM,PYSPP,PYABBR,MODCAT,GENCAT,GenSci,GenCom,ANALCAT,AnalSci,AnalCom,COLLCAT,CollSci,Collcom
LAMPROPS QUADRIPLICATA,,4.11E+14,LAMQUA,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
LAMPROPS FUSCATA,,4.11E+14,LAMFUS,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
EUDORELLA SP,,4.11E+14,EUDOSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
EUDORELLA EMARGINATA,,4.11E+14,EUDEMA,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
EUDORELLA HISPIDA,,4.11E+14,EUDHIS,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
EUDORELLA TRUNCATULA,,4.11E+14,EUDTRU,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
LEUCON AMERICANUS,,4.11E+14,LEUAME,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
PSEUDOCUMIDAE,,4.11E+14,PSEFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
PETALOSARSIA DECLIVIS,,4.11E+14,PETDEC,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CUMACE,CUMACEA,CUMACEA,CUMACE,CUMACEA,CUMACEA
EUPHAUSIIDAE,KRILL,4.11E+14,EUPFAM,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
EUPHAUSIIDAE LARVAE,KRILL LARVAE,4.11E+14,EUPLAR,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
EUPHAUSIA SP,,4.11E+14,EUPHSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
EUPHAUSIA KROHNI,,4.11E+14,EUPKRO,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
MEGANYCTIPHANES NORVEGICA,,4.11E+14,MEGNOR,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
NYCTIPHANES COUCHI,,4.11E+14,NYCCOU,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
STYLOCHEIRON SP,,4.11E+14,STYLSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
THYSANOESSA SP,,4.11E+14,THYSSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
THYSANOESSA INERMIS,,4.11E+14,THYINE,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
THYSANOESSA LONGICAUDATA,,4.11E+14,THYLON,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
THYSANOESSA RASCHII,,4.11E+14,THYRAS,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,EUPFAM,EUPHAUSIACEA,KRILL,EUPFAM,EUPHAUSIACEA,KRILL
MYSIDACEA,MYSIDS,4.11E+14,MYSIDA,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
MYSIDACEA LARVAE,,4.11E+14,MYSLAR,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
MYSIDAE,,4.11E+14,MYSFAM,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
AMBLYOPS ABBREVIATA,,4.11E+14,AMBABB,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
ERYTHROPS SP,,4.11E+14,ERYTSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
ERYTHROPS ERYTHROPHTHALMA,,4.11E+14,ERYERY,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
HETEROMYSIS FORMOSA,,4.11E+14,HETFOR,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
MYSIDOPSIS SP,,4.11E+14,MYSISP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
MYSIDOPSIS BIGELOWI,,4.11E+14,MYSBIG,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
MYSIS SP,,4.11E+14,MYSIS1,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
MYSIS MIXTA,,4.11E+14,MYSMIX,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
NEOMYSIS AMERICANA,,4.11E+14,NEOAME,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
PRAUNUS FLEXUOSUS,,4.11E+14,PRAFLE,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
PSEUDOMMA SP,,4.11E+14,PSEUS2,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
PSEUDOMMA AFFINE,,4.11E+14,PSEAFF,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,MYSIDA,MYSIDACEA,MYSIDACEA,MYSIDA,MYSIDACEA,MYSIDACEA
CIRRIPEDIA,BARNACLES,4.11E+14,CIRRIP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CIRRIP,CIRRIPEDIA,BARNACLES,CIRRIP,CIRRIPEDIA,BARNACLES
CIRRIPEDIA LARVAE,BARNACLE LARVAE,4.11E+14,CIRLAR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CIRRIP,CIRRIPEDIA,BARNACLES,CIRRIP,CIRRIPEDIA,BARNACLES
BALANUS SP,,4.11E+14,BALASP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,CIRRIP,CIRRIPEDIA,BARNACLES,CIRRIP,CIRRIPEDIA,BARNACLES
COPEPODA,COPEPODS,4.11E+14,COPEPO,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CALANOIDA,CALANOID COPEPODS,4.11E+14,CALANO,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CYCLOPOIDA,CYCLOPOID COPEPODS,4.11E+14,CYCLOP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
HARPACTICOIDA,HARPACTICOID COPEPODS,4.11E+14,HARPAC,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
ARGULUS SP,,4.11E+14,ARGUSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CALANUS SP,,4.11E+14,CALASP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CALANUS FINMARCHICUS,,4.11E+14,CALFIN,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CALIGUS SP,,4.11E+14,CALISP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CENTROPAGES SP,,4.11E+14,CENTSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CENTROPAGES TYPICUS,,4.11E+14,CENTYP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
HARPACTICIDAE,,4.11E+14,HARFAM,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
PENELLA SP,,4.11E+14,PENESP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
METRIDIA SP,,4.11E+14,METRSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CANDACIA SP,,4.11E+14,CANDSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CANDACIA ARMATA,,4.11E+14,CANARM,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CANDACIA NORVEGICA,,4.11E+14,CANNOR,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
CYCLOPIDAE,,4.11E+14,CYCFAM,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
RHINCALANUS CORNUTUS,,4.11E+14,RHICOR,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
PSEUDOCALANUS SP,,4.11E+14,PSEUSP,PELINV,ARTHRO,ARTHROPODA,ARTHROPODA,COPEPO,COPEPODA,COPEPODA,COPEPO,COPEPODA,COPEPODA
OSTRACODA,OSTRACODS,4.11E+14,OSTRAC,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,ARTHRO,ARTHROPODA,ARTHROPODA,OSTRAC,OSTRACODA,OSTRACODA
NEBALIACEA,,4.11E+14,NEBALI,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
STOMATOPODA,MANTIS SHRIMPS,4.11E+14,STOMAT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
STOMATOPODA LARVAE,MANTIS SHRIMPS LARVAE,4.11E+14,STOLAR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
HETEROSQUILLA SP,,4.11E+14,HETESP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
HETEROSQUILLA ARMATA,,4.11E+14,HETARM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
PLATYSQUILLA ENODIS,,4.11E+14,PLAENO,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
SQUILLA SP,,4.11E+14,SQUISP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
SQUILLA EMPUSA,,4.11E+14,SQUEMP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
SQUILLA NEGLECTA,,4.11E+14,SQUNEG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
TANAIDAE,,4.11E+14,TANFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,STOMAT,STOMATOPODA,MANTIS SHRIMPS,STOMAT,STOMATOPODA,MANTIS SHRIMPS
PYCNOGONIDA,SEA SPIDERS,4.12E+14,PYCNOG,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
ACHELIA SPINOSA,,4.12E+14,ACHESP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
NYMPHON SP,,4.12E+14,NYMPSP,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
NYMPHON GROSSIPES,,4.12E+14,NYMGRO,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
NYMPHON STROEMI,,4.12E+14,NYMSTR,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
PHOXICHILIDIIDAE,,4.12E+14,PHOFA1,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
PYCNOGONIDAE,,4.12E+14,PYCFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
PYCNOGONUM LITTORALE,,4.12E+14,PYCLIT,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA,PYCNOG,PYCNOGONIDA,PYCNOGONIDA
HALACARIDAE,MITES,4.13E+14,HALFAM,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,ARTHRO,ARTHROPODA,ARTHROPODA,HALFAM,HALACARIDAE,MITES
LIMULUS POLYPHEMUS,HORSESHOE CRAB,4.14E+14,LIMPOL,BENINV,ARTHRO,ARTHROPODA,ARTHROPODA,ARTHRO,ARTHROPODA,ARTHROPODA,LIMPOL,LIMULUS POLYPHEMUS,HORSESHOE CRAB
INSECTA,INSECTS,4.15E+14,INSECT,OTHER,ARTHRO,ARTHROPODA,ARTHROPODA,INSECT,INSECTA,INSECTA,INSECT,INSECTA,INSECTA
MOLLUSCA,MOLLUSKS,5.10E+14,MOLLUS,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA
MOLLUSCA SHELL,MOLLUSK SHELL,5.10E+14,MOLSHE,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA
MOLLUSCA VISCERA,MOLLUSK VISCERA,5.10E+14,MOLVIS,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA
MOLLUSCA EGGS,MOLLUSK EGGS,5.10E+14,MOLEGG,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA
APLACOPHORA,SOLENOGASTERS,5.11E+14,APLACO,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA
CHAETODERMA NITIDULUM,GLISTEN-WORM SOLENOGASTER,5.11E+14,CHANIT,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA,MOLLUS,MOLLUSCA,MOLLUSCA
POLYPLACOPHORA,CHITONS,5.11E+14,POLYPL,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,POLYPL,POLYPLACOPHORA,CHITONS,POLYPL,POLYPLACOPHORA,CHITONS
CHITON TUBERCULATUS,WEST INDIAN GREEN CHITON,5.11E+14,CHITUB,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,POLYPL,POLYPLACOPHORA,CHITONS,POLYPL,POLYPLACOPHORA,CHITONS
TONICELLA SP,,5.11E+14,TONISP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,POLYPL,POLYPLACOPHORA,CHITONS,POLYPL,POLYPLACOPHORA,CHITONS
TONICELLA RUBRA,NORTHERN RED CHITON,5.11E+14,TONRUB,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,POLYPL,POLYPLACOPHORA,CHITONS,POLYPL,POLYPLACOPHORA,CHITONS
BIVALVIA,BIVALVE MOLLUSKS,5.12E+14,BIVALV,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
BIVALVIA SHELL,BIVALVE SHELL,5.12E+14,BIVSHE,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
BIVALVIA VISCERA,BIVALVE VISCERA,5.12E+14,BIVVIS,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
BIVALVIA SIPHON,BIVALVE SIPHON,5.12E+14,BIVSIP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
BIVALVIA LARVAE,BIVALVE LARVAE,5.12E+14,BIVLAR,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
ANADARA SP,,5.12E+14,ANADSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
ANADARA TRANSVERSA,TRANSVERSE ARK,5.12E+14,ANATRA,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
BATHYARCA SP,,5.12E+14,BATHSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
BATHYARCA PECTUNCULOIDES,COMB BATHYARK,5.12E+14,BATPEC,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
LIMOPSIS SP,,5.12E+14,LIMOSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MYTILIDAE,MUSSELS,5.12E+14,MYTFAM,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MYTILIDAE SHELL,MUSSEL SHELL,5.12E+14,MYTSHE,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
CRENELLA SP,,5.12E+14,CRENSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
CRENELLA GLANDULA,,5.12E+14,CREGLA,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
DACRYDIUM SP,,5.12E+14,DACRSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
DACRYDIUM VITREUM,GLASSY MUSSEL,5.12E+14,DACVIT,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
GEUKENSIA SP,,5.12E+14,GEUKSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MODIOLUS MODIOLUS,NORTHERN HORSEMUSSEL,5.12E+14,MODMOD,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MUSCULUS SP,,5.12E+14,MUSCSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MUSCULUS NIGER,BLACK MUSSEL,5.12E+14,MUSNIG,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MYTILUS EDULIS,BLUE MUSSEL,5.12E+14,MYTEDU,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
MYTILUS EDULIS SHELL,BLUE MUSSEL SHELL,5.12E+14,MYTED1,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULANA SP,,5.12E+14,NUCUS1,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULANA PERNULA,NORTHERN NUTCLAM,5.12E+14,NUCPER,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULANA TENUISULCATA,THIN NUTCLAM,5.12E+14,NUCTE1,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
YOLDIELLA IRIS,RAINBOW YOLDIA,5.12E+14,YOLIRI,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
YOLDIELLA LUCIDA,IRIDESCENT YOLDIA,5.12E+14,YOLLUC,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
YOLDIA SP,,5.12E+14,YOLDSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
YOLDIA LIMATULA,FILE YOLDIA,5.12E+14,YOLLIM,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
YOLDIA SAPOTILLA,SHORT YOLDIA,5.12E+14,YOLSAP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
YOLDIA THRACIAEFORMIS,BROAD YOLDIA,5.12E+14,YOLTHR,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULA SP,,5.12E+14,NUCUSP,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULA AEGEENSIS,AEGEAN NUTCLAM,5.12E+14,NUCAEG,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULA DELPHINODONTA,DOLPHINTOOTH NUTCLAM,5.12E+14,NUCDEL,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
NUCULA PROXIMA,ATLANTIC NUTCLAM,5.12E+14,NUCPRO,BENINV,MOLLUS,MOLLUSCA,MOLLUSCA,BIVALV,BIVALVIA,"CLAMS, MUSSELS",BIVALV,BIVALVIA,"CLAMS, MUSSELS"
